"region","Branch_ID","center_id","center_name","loan_id","customer_id","Partner_BankID","Collected_By","Collection_Date","Collection_Status","Seq_Num","Collected_Amount","Waive_Off_Amount","principal_amt","interest_amt","paid_by","Collection_Type","Pay_Mode","source","Receipt_Number","Write_Off","Attendance","PreClosure_Reason","PreClosure_Fund_Source","modified_by","modified_on"
"1-Ayodhya","111-Gorakhpur","3169","vishunpur-bujurg _3169","516142","44972","Union Bank of India-7186","","2024-08-16","Completed","43","35142","0","35142","0","","Death-PreClosure","","app","0","0","Absent","NA","NA","",""
"4-Darbhanga","116-Phulparas","3791","narahia_3791","510127","39758","Indusind Bank-5803","","2024-12-18","Completed","47","27925","0","27925","0","","Death-PreClosure","","app","0","0","Absent","NA","NA","",""
"4-Darbhanga","112-Sakri","6964","bhaur_6964","538321","63171","Bank of Baroda-12661","","2024-08-22","Completed","33","47527","0","47527","0","","Death-PreClosure","","app","0","0","Absent","NA","NA","",""
"2-Mathura","173-Dholpur","13328","doobra-dholpur _13328","608140","121109","Central Bank of India-34022","SF01487-Lav kush","2025-01-08","Completed","21","29214","0","29214","0","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00893-Nagar Mal Yadav","2025-01-08 10:28:50.325"
"37-Amargol Hubli","144-Hubbali","12466","ayodya-nagar_12466","608717","119064","Bank of Baroda-33278","","2024-11-30","Completed","15","43034","0","43034","0","","Death-PreClosure","","app","0","0","Absent","NA","NA","",""
"37-Amargol Hubli","143-Shamanur","9144","karuru_9144","562634","83211","State Bank of India-19967","SF00276-H B Pruthviraj","2024-09-19","Completed","15","41615","0","41525","90","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00220-Shivakumar Poojar","2024-09-19 07:08:20.974"
"2-Mathura","185-Kasganj","11331","nagla-dak_11331","585724","102880","State Bank of India-26985","SF00035-Lakhan Singh ","2025-01-24","Completed","28","29645","0","29559","86","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00035-Lakhan Singh ","2025-01-24 09:12:05.213"
"2-Mathura","117-Tundla","18579","ravidas-nagar_18579","654829","157217","Canara Bank-47948","SF00727-Sateesh Kumar","2025-01-04","Completed","7","29797","0","29754","43","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00727-Sateesh Kumar","2025-01-04 13:40:09.429"
"2-Mathura","159-Fatehabad","9354","saket-nagar_9354","570721","78678","HDFC Bank-20921","SF01389-Karan Singh","2024-11-19","Completed","21","33339","0","33194","145","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00520-Ashish Singh","2024-11-19 11:01:32.689"
"2-Mathura","117-Tundla","3854","sikrari_3854","581063","98962","State Bank of India-25485","SF00112-Lav Kumar","2024-07-22","Completed","2","48535","0","48359","176","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00727-Sateesh Kumar","2024-07-22 11:34:34.275"
